name,purpose,mmname,position,party
All-Party Parliamentary Group on Fatherhood,To promote the wellbeing of children by ensuring that legal and policy frameworks keep up with the changing nature of family life and that legislation encourages active and responsible fatherhood.,Fiona Bruce,Vice Chair,Conservative
All-Party Parliamentary Group on Fatherhood,To promote the wellbeing of children by ensuring that legal and policy frameworks keep up with the changing nature of family life and that legislation encourages active and responsible fatherhood.,Jim Shannon,Secretary,Democratic Unionist Party
All-Party Parliamentary Group on Fatherhood,To promote the wellbeing of children by ensuring that legal and policy frameworks keep up with the changing nature of family life and that legislation encourages active and responsible fatherhood.,Michael Tomlinson,Treasurer,Conservative
All-Party Parliamentary Group on Female Genital Mutilation,To scrutinise the government and public sector's work in seeking to end the practice of female genital mutilation (FGM) in the UK and abroad.,Zac Goldsmith,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Female Genital Mutilation,To scrutinise the government and public sector's work in seeking to end the practice of female genital mutilation (FGM) in the UK and abroad.,Jess Phillips,Co-Chair,Labour
All-Party Parliamentary Group on Female Genital Mutilation,To scrutinise the government and public sector's work in seeking to end the practice of female genital mutilation (FGM) in the UK and abroad.,Mr Tanmanjeet Singh Dhesi,Vice Chair,Labour
All-Party Parliamentary Group on Female Genital Mutilation,To scrutinise the government and public sector's work in seeking to end the practice of female genital mutilation (FGM) in the UK and abroad.,Helen Whately,Vice Chair,Conservative
All-Party Parliamentary Group on Female Genital Mutilation,To scrutinise the government and public sector's work in seeking to end the practice of female genital mutilation (FGM) in the UK and abroad.,Peter Aldous,Vice Chair,Conservative
All-Party Parliamentary Group on Female Genital Mutilation,To scrutinise the government and public sector's work in seeking to end the practice of female genital mutilation (FGM) in the UK and abroad.,Baroness Featherstone,Vice Chair,Liberal Democrat
All-Party Parliamentary Film Industry Group,To enhance understanding of and promotion of the British film industry and film culture in the UK.,Sir Kevin Barron,Chair & Registered Contact,Labour
All-Party Parliamentary Film Industry Group,To enhance understanding of and promotion of the British film industry and film culture in the UK.,Mrs Sharon Hodgson,Vice Chair,Labour
All-Party Parliamentary Film Industry Group,To enhance understanding of and promotion of the British film industry and film culture in the UK.,Mr Nigel Evans,Officer,Conservative
All-Party Parliamentary Film Industry Group,To enhance understanding of and promotion of the British film industry and film culture in the UK.,Caroline Flint,Officer,Labour
All-Party Parliamentary Film Industry Group,To enhance understanding of and promotion of the British film industry and film culture in the UK.,Ian C. Lucas,Officer,Labour
All-Party Parliamentary Film Industry Group,To enhance understanding of and promotion of the British film industry and film culture in the UK.,Diana Johnson,Officer,Labour
All-Party Parliamentary Film Industry Group,To enhance understanding of and promotion of the British film industry and film culture in the UK.,Lord Young of Norwood Green,Officer,Labour
All-Party Parliamentary Film Industry Group,To enhance understanding of and promotion of the British film industry and film culture in the UK.,Lord McNally,Officer,Liberal Democrat
All-Party Parliamentary Group on Financial Crime and Scamming,"To allow parliamentarians to understand the nature of financial crime and scamming, its impact on society and on vulnerable and susceptible citizens; and to address issues on how we appropriately respond to these challenges.",Conor Burns,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Financial Crime and Scamming,"To allow parliamentarians to understand the nature of financial crime and scamming, its impact on society and on vulnerable and susceptible citizens; and to address issues on how we appropriately respond to these challenges.",Lyn Brown,Vice Chair,Labour
All-Party Parliamentary Group on Financial Crime and Scamming,"To allow parliamentarians to understand the nature of financial crime and scamming, its impact on society and on vulnerable and susceptible citizens; and to address issues on how we appropriately respond to these challenges.",Lord Harris of Haringey,Vice Chair,Labour
All-Party Parliamentary Group on Financial Crime and Scamming,"To allow parliamentarians to understand the nature of financial crime and scamming, its impact on society and on vulnerable and susceptible citizens; and to address issues on how we appropriately respond to these challenges.",Patricia Gibson,Vice Chair,Scottish National Party
All-Party Parliamentary Group on Financial Crime and Scamming,"To allow parliamentarians to understand the nature of financial crime and scamming, its impact on society and on vulnerable and susceptible citizens; and to address issues on how we appropriately respond to these challenges.",Anneliese Dodds,Vice Chair,Labour (Co-op)
All-Party Parliamentary Group on Financial Crime and Scamming,"To allow parliamentarians to understand the nature of financial crime and scamming, its impact on society and on vulnerable and susceptible citizens; and to address issues on how we appropriately respond to these challenges.",Jim Shannon,Vice Chair,Democratic Unionist Party
All-Party Parliamentary Group on Financial Crime and Scamming,"To allow parliamentarians to understand the nature of financial crime and scamming, its impact on society and on vulnerable and susceptible citizens; and to address issues on how we appropriately respond to these challenges.",Will Quince,Treasurer,Conservative
All-Party Parliamentary Group on Financial Education for Young People,"To provide a forum for parliamentarians and organisations to discuss the current provision of financial education in schools, further education and higher education, and ensure that all young people - regardless of background - are equipped to make informed financial decisions.",Julian Knight,Chair & Registered Contact,Conservative
